"","year","state","district","dem_votes_major_percent","rep_votes_major_percent","rep_votes","dem_votes","rep_status","dem_status","winner_party"
"1",2020,"Alabama",1,35.57,64.43,211825,116949,"Challenger","Challenger","R"
"2",2020,"Alabama",2,34.72,65.28,197996,105286,"Challenger","Challenger","R"
"3",2020,"Alabama",3,32.49,67.51,217384,104595,"Incumbent","Challenger","R"
"4",2020,"Alabama",4,17.7,82.3,261553,56237,"Incumbent","Challenger","R"
"5",2020,"Alabama",5,0,100,253094,0,"Incumbent",NA,"R"
"6",2020,"Alabama",6,0,100,274160,0,"Incumbent",NA,"R"
"7",2020,"Alabama",7,100,0,0,225742,NA,"Incumbent","D"
"8",2020,"Alaska",1,45.42,54.58,192126,159856,"Incumbent","Challenger","R"
"9",2020,"Arizona",1,51.61,48.39,176709,188469,"Challenger","Incumbent","D"
"10",2020,"Arizona",2,55.12,44.88,170975,209945,"Challenger","Incumbent","D"
"11",2020,"Arizona",3,64.57,35.43,95594,174243,"Challenger","Incumbent","D"
"12",2020,"Arizona",4,30.24,69.76,278002,120484,"Incumbent","Challenger","R"
"13",2020,"Arizona",5,41.11,58.89,262414,183171,"Incumbent","Challenger","R"
"14",2020,"Arizona",6,47.83,52.17,217783,199644,"Incumbent","Challenger","R"
"15",2020,"Arizona",7,76.71,23.29,50226,165452,"Challenger","Incumbent","D"
"16",2020,"Arizona",8,40.15,59.85,254633,170816,"Incumbent","Challenger","R"
"17",2020,"Arizona",9,61.63,38.37,135180,217094,"Challenger","Incumbent","D"
"18",2020,"Arkansas",1,0,100,237596,0,"Incumbent",NA,"R"
"19",2020,"Arkansas",2,44.63,55.37,184093,148410,"Incumbent","Challenger","R"
"20",2020,"Arkansas",3,33.09,66.91,214960,106325,"Incumbent","Challenger","R"
"21",2020,"Arkansas",4,28.33,71.67,191617,75750,"Incumbent","Challenger","R"
"22",2020,"California",1,43.01,56.99,204190,154073,"Incumbent","Challenger","R"
"23",2020,"California",2,75.74,24.26,94320,294435,"Challenger","Incumbent","D"
"24",2020,"California",3,54.67,45.33,145945,176043,"Challenger","Incumbent","D"
"25",2020,"California",4,44.05,55.95,247291,194731,"Incumbent","Challenger","R"
"26",2020,"California",5,76.09,23.91,85227,271233,"Challenger","Incumbent","D"
"27",2020,"California",6,73.34,26.66,83466,229648,"Challenger","Incumbent","D"
"28",2020,"California",7,56.62,43.38,166549,217416,"Challenger","Incumbent","D"
"29",2020,"California",8,43.94,56.06,158711,124400,"Challenger","Challenger","R"
"30",2020,"California",9,57.58,42.42,128358,174252,"Challenger","Incumbent","D"
"31",2020,"California",10,55.16,44.84,135629,166865,"Challenger","Incumbent","D"
"32",2020,"California",11,72.99,27.01,100293,271063,"Challenger","Incumbent","D"
"33",2020,"California",12,100,0,0,281776,NA,"Incumbent","D"
"34",2020,"California",13,90.37,9.63,34955,327863,"Challenger","Incumbent","D"
