"","st_cd_fips","year","...1.x","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","election_date","candidate_name","state.x","st_fips.x","cd_fips","dem_cand","rep_cand","DEM","REP","...1.y","...2.x","cd","state.y","cvap","moe","...1","...2.y","office","state","st_fips.y","district_num","district_id","winner_party","RepVotes","RepCandidate","RepStatus","DemVotes","DemCandidate","DemStatus","RepVotesMajorPercent","DemVotesMajorPercent","winner_candidate","winner_candidate_inc","president_party"
"1","0401",2018,891,"Go Right Strategies",NA,"Go Right Strategies",NA,"9/27/18","9/28/18",738,"lv","11/6/18","Tom O'Halleran","Arizona","04","01","Tom O'Halleran","Wendy J. Rogers","36.23","39.44",1317,1317,"1","Arizona",549353,2895,445,445,"House","Arizona","04","01","AZ01","D",122784,"Rogers, Wendy","Challenger",143240,"O'Halleran, Tom","Incumbent",46.16,53.84,"DemCandidate","Incumbent","R"
"2","0401",2018,576,"Øptimus",NA,"Øptimus","B/C","10/31/18","11/1/18",756,"lv","11/6/18","Tom O'Halleran","Arizona","04","01","Tom O'Halleran","Wendy J. Rogers","47.7","45.35",1317,1317,"1","Arizona",549353,2895,445,445,"House","Arizona","04","01","AZ01","D",122784,"Rogers, Wendy","Challenger",143240,"O'Halleran, Tom","Incumbent",46.16,53.84,"DemCandidate","Incumbent","R"
"3","0401",2018,723,"American Viewpoint","Arizona Grassroots Advocates","American Viewpoint","B/C","10/16/18","10/18/18",400,"lv","11/6/18","Tom O'Halleran","Arizona","04","01","Tom O'Halleran","Wendy J. Rogers","46","46",1317,1317,"1","Arizona",549353,2895,445,445,"House","Arizona","04","01","AZ01","D",122784,"Rogers, Wendy","Challenger",143240,"O'Halleran, Tom","Incumbent",46.16,53.84,"DemCandidate","Incumbent","R"
"4","0401",2018,802,"Go Right Strategies",NA,"Go Right Strategies",NA,"10/9/18","10/10/18",943,"lv","11/6/18","Tom O'Halleran","Arizona","04","01","Tom O'Halleran","Wendy J. Rogers","37.5","44.4",1317,1317,"1","Arizona",549353,2895,445,445,"House","Arizona","04","01","AZ01","D",122784,"Rogers, Wendy","Challenger",143240,"O'Halleran, Tom","Incumbent",46.16,53.84,"DemCandidate","Incumbent","R"
"5","0402",2018,881,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","9/26/18","10/1/18",502,"rv","11/6/18","Ann Kirkpatrick","Arizona","04","02","Ann Kirkpatrick","Lea Marquez Peterson","49.86","35.33",1318,1318,"2","Arizona",539385,2828,446,446,"House","Arizona","04","02","AZ02","D",133083,"Peterson, Lea Marquez","Challenger",161000,"Kirkpatrick, Ann","Challenger",45.25,54.75,"DemCandidate","Challenger","R"
"6","0402",2018,1274,"PPP",NA,"Public Policy Polling","A-","2/8/18","2/10/18",841,"v","11/6/18","Lea Marquez Peterson","Arizona","04","02","Amy McGrath","Lea Marquez Peterson","44","31",1318,1318,"2","Arizona",539385,2828,446,446,"House","Arizona","04","02","AZ02","D",133083,"Peterson, Lea Marquez","Challenger",161000,"Kirkpatrick, Ann","Challenger",45.25,54.75,"DemCandidate","Challenger","R"
"7","0402",2018,880,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","9/26/18","10/1/18",502,"lv","11/6/18","Ann Kirkpatrick","Arizona","04","02","Ann Kirkpatrick","Lea Marquez Peterson","50.3","39.42",1318,1318,"2","Arizona",539385,2828,446,446,"House","Arizona","04","02","AZ02","D",133083,"Peterson, Lea Marquez","Challenger",161000,"Kirkpatrick, Ann","Challenger",45.25,54.75,"DemCandidate","Challenger","R"
"8","0404",2018,915,"OH Predictive Insights / MBQF",NA,"OH Predictive Insights","B/C","9/25/18","9/25/18",370,"lv","11/6/18","David Brill","Arizona","04","04","David Brill","Paul Gosar","25","57",1320,1320,"4","Arizona",587617,3003,448,448,"House","Arizona","04","04","AZ04","R",188842,"Gosar, Paul","Incumbent",84521,"Brill, David","Challenger",69.08,30.92,"RepCandidate","Incumbent","R"
"9","0406",2018,765,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18",500,"rv","11/6/18","Anita Malik","Arizona","04","06","Anita Malik","David Schweikert","35.46","44.83",1322,1322,"6","Arizona",565541,3611,450,450,"House","Arizona","04","06","AZ06","R",173140,"Schweikert, David","Incumbent",140559,"Malik, Anita","Challenger",55.19,44.81,"RepCandidate","Incumbent","R"
"10","0406",2018,764,"Siena College/NYT Upshot","New York Times","Siena College/The New York Times Upshot","A+","10/11/18","10/15/18",500,"lv","11/6/18","Anita Malik","Arizona","04","06","Anita Malik","David Schweikert","35.96","49.97",1322,1322,"6","Arizona",565541,3611,450,450,"House","Arizona","04","06","AZ06","R",173140,"Schweikert, David","Incumbent",140559,"Malik, Anita","Challenger",55.19,44.81,"RepCandidate","Incumbent","R"
"11","0406",2020,380,"Greenberg Quinlan Rosner",NA,"GQR","B","8/6/20","8/12/20",548,"lv","11/3/20","David Schweikert","Arizona","04","06","Kathleen Williams","David Schweikert","45","45",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"12","0406",2020,179,"PPP","314 Action","Public Policy Polling","A-","10/26/20","10/27/20",582,"v","11/3/20","David Schweikert","Arizona","04","06","Amy Kennedy","David Schweikert","46","41",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"13","0406",2020,311,"PPP","House Majority PAC","Public Policy Polling","A-","9/22/20","9/23/20",527,"v","11/3/20","David Schweikert","Arizona","04","06","Christy Smith","David Schweikert","51","45",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"14","0406",2020,306,"Greenberg Quinlan Rosner",NA,"GQR","B","9/23/20","9/26/20",500,"lv","11/3/20","David Schweikert","Arizona","04","06","Eugene A. DePasquale","David Schweikert","50","45",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"15","0406",2020,303,"OH Predictive Insights / MBQF",NA,"OH Predictive Insights","B/C","9/23/20","9/27/20",531,"lv","11/3/20","David Schweikert","Arizona","04","06","Lisa Blunt Rochester","David Schweikert","51","49",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"16","0406",2020,423,"DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","7/29/20","8/1/20",586,"lv","11/3/20","David Schweikert","Arizona","04","06","Ben McAdams","David Schweikert","35","46",2194,2194,"6","Arizona",593835,5735,14,14,"House","Arizona","04","06","AZ06","R",217783,"Schweikert, David","Incumbent",199644,"Tipirneni, Hiral","Challenger",52.17,47.83,"RepCandidate","Incumbent","D"
"17","0408",2018,1117,"Lake Research",NA,"Lake Research Partners","A/B","8/7/18","8/13/18",400,"lv","11/6/18","Debbie Lesko","Arizona","04","08","Josh Gottheimer","Debbie Lesko","36","49",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
"18","0408",2018,1243,"Blumenthal Research Daily",NA,"Blumenthal Research Daily","F","4/12/18","4/16/18",600,"lv","4/24/18","Debbie Lesko","Arizona","04","08","Hiral Tipirneni","Debbie Lesko","46","51",1324,1324,"8","Arizona",576753,3582,452,452,"House","Arizona","04","08","AZ08","R",168835,"Lesko, Debbie","Incumbent",135569,"Tipirneni, Hiral","Challenger",55.46,44.54,"RepCandidate","Incumbent","R"
