,year,state,district,inc_party,is_open,description,,ie_num
6,2010,AL,7,Democrat,1,Currently Safe Democrat,,1
11,2010,AZ,4,Democrat,0,Currently Safe Democrat,,1
19,2010,AR,4,Democrat,0,Currently Safe Democrat,,1
20,2010,CA,1,Democrat,0,Currently Safe Democrat,,1
24,2010,CA,5,Democrat,0,Currently Safe Democrat,,1
25,2010,CA,6,Democrat,0,Currently Safe Democrat,,1
26,2010,CA,7,Democrat,0,Currently Safe Democrat,,1
27,2010,CA,8,Democrat,0,Currently Safe Democrat,,1
28,2010,CA,9,Democrat,0,Currently Safe Democrat,,1
29,2010,CA,10,Democrat,0,Currently Safe Democrat,,1
31,2010,CA,12,Democrat,0,Currently Safe Democrat,,1
32,2010,CA,13,Democrat,0,Currently Safe Democrat,,1
33,2010,CA,14,Democrat,0,Currently Safe Democrat,,1
34,2010,CA,15,Democrat,0,Currently Safe Democrat,,1
35,2010,CA,16,Democrat,0,Currently Safe Democrat,,1
36,2010,CA,17,Democrat,0,Currently Safe Democrat,,1
37,2010,CA,18,Democrat,0,Currently Safe Democrat,,1
42,2010,CA,23,Democrat,0,Currently Safe Democrat,,1
46,2010,CA,27,Democrat,0,Currently Safe Democrat,,1
47,2010,CA,28,Democrat,0,Currently Safe Democrat,,1
48,2010,CA,29,Democrat,0,Currently Safe Democrat,,1
49,2010,CA,30,Democrat,0,Currently Safe Democrat,,1
50,2010,CA,31,Democrat,0,Currently Safe Democrat,,1
51,2010,CA,32,Democrat,0,Currently Safe Democrat,,1
52,2010,CA,33,Democrat,1,Currently Safe Democrat,,1
53,2010,CA,34,Democrat,0,Currently Safe Democrat,,1
54,2010,CA,35,Democrat,0,Currently Safe Democrat,,1
55,2010,CA,36,Democrat,0,Currently Safe Democrat,,1
56,2010,CA,37,Democrat,0,Currently Safe Democrat,,1
57,2010,CA,38,Democrat,0,Currently Safe Democrat,,1
58,2010,CA,39,Democrat,0,Currently Safe Democrat,,1
62,2010,CA,43,Democrat,0,Currently Safe Democrat,,1
70,2010,CA,51,Democrat,0,Currently Safe Democrat,,1
72,2010,CA,53,Democrat,0,Currently Safe Democrat,,1
73,2010,CO,1,Democrat,0,Currently Safe Democrat,,1
74,2010,CO,2,Democrat,0,Currently Safe Democrat,,1
80,2010,CT,1,Democrat,0,Currently Safe Democrat,,1
81,2010,CT,2,Democrat,0,Currently Safe Democrat,,1
82,2010,CT,3,Democrat,0,Currently Safe Democrat,,1
88,2010,FL,3,Democrat,0,Currently Safe Democrat,,1
96,2010,FL,11,Democrat,0,Currently Safe Democrat,,1
102,2010,FL,17,Democrat,1,Currently Safe Democrat,,1
104,2010,FL,19,Democrat,0,Currently Safe Democrat,,1
105,2010,FL,20,Democrat,0,Currently Safe Democrat,,1
108,2010,FL,23,Democrat,0,Currently Safe Democrat,,1
