year,state,state,district,inc_party.x,Cook,Cook_num,description,ie_num,avg_rating
2022,Alaska,AK,0,dem,Lean D,3,Lean Democrat,3,3
2016,Alaska,AK,0,rep,Lean R,5,Currently Safe Republican,7,6
2018,Alaska,AK,0,rep,Lean R,5,Republican Favored,6,5.5
2020,Alaska,AK,0,rep,Lean R,5,Republican Favored,6,5.5
2012,Alaska,AK,0,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alaska,AK,0,rep,Solid R,7,Currently Safe Republican,7,7
2008,Alaska,AK,0,rep,Tossup R,4.5,NA,NA,4.5
2008,Alabama,AL,3,rep,Likely R,5,NA,NA,5
2008,Alabama,AL,7,dem,Solid D,1,NA,NA,1
2012,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2014,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2016,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2018,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2020,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2022,Alabama,AL,7,dem,Solid D,1,Currently Safe Democrat,1,1
2008,Alabama,AL,1,rep,Solid R,7,NA,NA,7
2008,Alabama,AL,4,rep,Solid R,7,NA,NA,7
2008,Alabama,AL,6,rep,Solid R,7,NA,NA,7
2012,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2012,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2012,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
2012,Alabama,AL,4,rep,Solid R,7,Currently Safe Republican,7,7
2012,Alabama,AL,5,rep,Solid R,7,Currently Safe Republican,7,7
2012,Alabama,AL,6,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alabama,AL,1,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alabama,AL,2,rep,Solid R,7,Currently Safe Republican,7,7
2014,Alabama,AL,3,rep,Solid R,7,Currently Safe Republican,7,7
